speciesId,phylum,class,subclass,order,sub-order,infraorder,section,subsection,superfamily,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,taxonName,source_file,taxon,superorder,domain,kingdom,section/parvorder,Column2,infraclass,commonName,species2,clade 1,clade 2,clade 3,genericName
A-Anne-Clit-Hirudinea-000001,Annelida,Clitellata,Hirudinea,Rhynchobdellida,,,,,,Glossiphoniidae,,,,,,"","Glossiphoniidae sp. ""1""",(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,Eukarya,Animalia,,,,,,,,,
A-Anne-Clit-Hirudinea-000002,Annelida,Clitellata,Hirudinea,Rhynchobdellida,,,,,,Glossiphoniidae,,,,,,"","Glossiphoniidae sp. ""2""",(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,Eukarya,Animalia,,,,,,,,,
A-Anne-Clit-Hirudinea-000003,Annelida,Clitellata,Hirudinea,Rhynchobdellida,,,,,,Glossiphoniidae,,,,,,"","Glossiphoniidae sp. ""3""",(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,Eukarya,Animalia,,,,,,,,,
A-Anne-Clit-Hirudinea-000004,Annelida,Clitellata,Hirudinea,Arhynchobdellida,,,,,,Hirudinidae,,,,,,"","Hirudinidae sp. ""1""",(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,Eukarya,Animalia,,,,,,,,,
A-Anne-Clit-Hirudinea-000005,Annelida,Clitellata,Hirudinea,Arhynchobdellida,,,,,,Hirudinidae,,,,,,"","Hirudinidae sp. ""2""",(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,Eukarya,Animalia,,,,,,,,,
A-Anne-Clit-Hirudinea-000006,Annelida,Clitellata,Hirudinea,Arhynchobdellida,,,,,,Hirudinidae,,,Hirudinaria,,bpling,"",Hirudinaria bpling,(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,Eukarya,Animalia,,,,,,,,,Hirudinaria
A-Anne-Clit-Hirudinea-000007,Annelida,Clitellata,Hirudinea,,,,,,,,,,,,,"",Hirudinea sp. 1,(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,Eukarya,Animalia,,,,,,,,,
A-Anne-Clit-Hirudinea-000008,Annelida,Clitellata,Hirudinea,,,,,,,,,,,,,"",Hirudinea sp. 2,(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,Eukarya,Animalia,,,,,,,,,
A-Anne-Clit-Hirudinea-000009,Annelida,Clitellata,Hirudinea,,,,,,,,,,,,,"",Hirudinea sp. 3,(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,Eukarya,Animalia,,,,,,,,,
A-Anne-Clit-Hirudinea-000010,Annelida,Clitellata,Hirudinea,,,,,,,,,,,,,"",Hirudinea sp. 4,(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,Eukarya,Animalia,,,,,,,,,
A-Anne-Clit-Hirudinea-000011,Annelida,Clitellata,Hirudinea,,,,,,,,,,,,,"",Hirudinea sp. 5,(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,Eukarya,Animalia,,,,,,,,,
A-Anne-Clit-Hirudinea-000012,Annelida,Clitellata,Hirudinea,,,,,,,,,,,,,"",Hirudinea sp. 6,(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,Eukarya,Animalia,,,,,,,,,
A-Anne-Clit-Oligochaeta-000001,Annelida,Clitellata,Oligochaeta,Crassiclitellata,,,,,,Megascolecidae,,,Pheretima,,darnleiensis,"",Pheretima darnleiensis,(back+checked) Database - A-Anne-Clit-Oligochaeta.xlsx,,,Eukarya,Animalia,,,,,,,,,Pheretima
A-Anne-Echiura-000001,Annelida,Polychaeta,Echiura,Echiuroidea,Echiurida,,,,,Echiuridae,,,Ochetostoma,,erythrogrammon,"",Ochetostoma erythrogrammon,(back+checked) Database - A-Anne-Echiura.xlsx,,,Eukarya,Animalia,,,,,,,,,Ochetostoma
A-Anne-Echiura-000002,Annelida,Polychaeta,Echiura,,,,,,,,,,,,,"",Spoon worm sp. 1,(back+checked) Database - A-Anne-Echiura.xlsx,,,Eukarya,Animalia,,,,,,,,,
A-Anne-Echiura-000003,Annelida,Polychaeta,Echiura,,,,,,,,,,,,,"",Spoon worm sp. 2,(back+checked) Database - A-Anne-Echiura.xlsx,,,Eukarya,Animalia,,,,,,,,,
A-Anne-Echiura-000004,Annelida,Polychaeta,Echiura,,,,,,,,,,,,,"",Spoon worm sp. 3,(back+checked) Database - A-Anne-Echiura.xlsx,,,Eukarya,Animalia,,,,,,,,,
