speciesId,matched_taxonID,acceptedNameUsageID,taxonName,domain,kingdom,phylum,class,subclass,superorder,order,sub-order,infraorder,section,subsection,superfamily,family,subfamily,tribe,genus,subgenus,genericName,specificEpithet,infraspecificEpithet
A-Arth-Hexa-Diptera-000313,7686138,1608486,<i>Medetera flavipes</i>,,,Arthopoda,Insecta,,,Diptera,Brachycera,Asilomorpha,,,Empidoidea,Dolichopodidae,Medeterinae,,Medetera,,Medetera,flavipes,""
A-Arth-Crus-Decapoda-000013,8307956,5972358,<i>Harrovia longipes</i>,,,Arthropoda,Malacostraca,,,Decapoda,Pleocyemata,Brachyura,,,Pilumnoidea,Pilumnidae,,,Harrovia,,Harrovia,longipes,""
A-Vert-Pisces-000136,5208518,-1,<i>Pterophyllum scalare</i>,,,Chordata,Actinopterygii,,,Perciformes,,,,,,Cichlidae,,,Pterophyllum,,Pterophyllum,scalare,""
A-Arth-Hexa-Coleoptera-000477,5998572,7901452,<i>Sybra (Sybra) arator</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Mycerinopsis,Sybra,Sybra,arator,""
A-Arth-Hexa-Coleoptera-000477,8174817,7901452,<i>Sybra (Sybra) arator</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Mycerinopsis,Sybra,Sybra,arator,""
A-Vert-Aves-000045,2480943,9752617,<i>Ardea alba</i>,,,Chordata,Aves,,,Pelecaniformes,,,,,,Ardeidae,,,Ardea,,Ardea,alba,""
A-Vert-Aves-000045,11083948,9752617,<i>Ardea alba</i>,,,Chordata,Aves,,,Pelecaniformes,,,,,,Ardeidae,,,Ardea,,Ardea,alba,""
A-Vert-Reptilia-000129,7908439,9116969,<i>Cuora amboinensis</i>,,,Chordata,Reptilia,,,Testudines,,,,,,Geoemydidae,,,Cuora,,Cuora,amboinensis,""
A-Arth-Hexa-Orthoptera-000111,7904790,1725731,<i>Larnaca (Larnaca) fasciata</i>,,,Arthropoda,Insecta,,,Orthoptera,,,,,,Gryllacrididae,Gryllacridinae,,Gryllacris,Larnaca,Larnaca,fasciata,""
A-Arth-Hexa-Diptera-000313,1608214,-1,<i>Medetera flavipes</i>,,,Arthopoda,Insecta,,,Diptera,Brachycera,Asilomorpha,,,Empidoidea,Dolichopodidae,Medeterinae,,Medetera,,Medetera,flavipes,""
A-Echi-Asteroidea-000016,8424121,2274204,<i>Archaster typicus</i>,,,Echinodermata,Asteroidea,,,Valvatida,,,,,,Archasteridae,,,Marthasterias,,Archaster,typicus,""
A-Arth-Hexa-Hymenoptera-000119,1335142,-1,<i>Megachile</i> (<i>Callomegachile</i> sensu lato<i></i>) <i> tuberculata</i>,,,,Insecta,,,Hymenoptera,Anthophila,,,,,Megachilidae,Megachilinae,Megachilini,Megachile,Callomegachile,Megachile,tuberculata,""
A-Arth-Hexa-Hymenoptera-000126,11761026,-1,<i>Megachile</i> (<i>Paracella</i>) <i>tricincta</i>,,,,Insecta,,,Hymenoptera,Anthophila,,,,,Megachilidae,Megachilinae,Megachilini,Megachile,Paracella,Megachile,tricincta,""
A-Arth-Hexa-Hymenoptera-000109,1336269,-1,<i>Megachile</i> (<i>Aethomegachile</i>) <i>laticeps</i>,,,,Insecta,,,Hymenoptera,Anthophila,,,,,Megachilidae,Megachilinae,Megachilini,Megachile,Aethomegachile,Megachile,laticeps,""
A-Arth-Hexa-Hemiptera-000272,7688172,8278763,<i>Helopeltis bradyi</i>,,,Arthropoda,Insecta,,,Hemiptera,Heteroptera,Cimicomorpha,,,Miroidea,Miridae,Bryocorinae,,Helopeltis,,Helopeltis,bradyi,""
A-Arth-Hexa-Hemiptera-000815,7673857,7899340,<i>Helopeltis theivora</i>,,,Arthropoda,Insecta,,,Hemiptera,Heteroptera,Cimicomorpha,,,Miroidea,Miridae,Bryocorinae,,Helopeltis,,Helopeltis,theivora,""
A-Arth-Hexa-Coleoptera-000375,1111444,-1,<i>Chloridolum (Chloridolum) ceycinum</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Cerambycinae,,Chloridolum,Chloridolum,Chloridolum,ceycinum,""
A-Arth-Hexa-Coleoptera-000376,1111466,-1,<i>Chloridolum (Chloridolum) cinnyris</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Cerambycinae,,Chloridolum,Chloridolum,Chloridolum,cinnyris,""
