speciesId,matched_taxonID,acceptedNameUsageID,taxonName,domain,kingdom,phylum,class,subclass,superorder,order,sub-order,infraorder,section,subsection,superfamily,family,subfamily,tribe,genus,subgenus,genericName,specificEpithet,infraspecificEpithet,taxonRank,taxonomicStatus,parentNameUsageID
A-Anne-Echiura-000002,,,Spoon worm sp. 1,Eukarya,Animalia,Annelida,Polychaeta,Echiura,"","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,256
A-Anne-Echiura-000003,,,Spoon worm sp. 2,Eukarya,Animalia,Annelida,Polychaeta,Echiura,"","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,256
A-Anne-Echiura-000004,,,Spoon worm sp. 3,Eukarya,Animalia,Annelida,Polychaeta,Echiura,"","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,256
A-Anne-Echiura-000005,,,Spoon worm sp. 4,Eukarya,Animalia,Annelida,Polychaeta,Echiura,"","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,256
A-Anne-Echiura-000006,,,Spoon worm sp. 5,Eukarya,Animalia,Annelida,Polychaeta,Echiura,"","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,256
A-Anne-Echiura-000007,,,Spoon worm sp. 6,Eukarya,Animalia,Annelida,Polychaeta,Echiura,"","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,256
A-Arth-Hexa-Plecoptera-000001,,,Plecoptera sp. ZRCBDP_0071997,Eukarya,Animalia,Arthropoda,Insecta,"","",Plecoptera,"","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,787
A-Anne-Polychaeta-000394,,,Synelmis? sp. SEA-0606,Eukarya,Animalia,Annelida,Polychaeta,Errantia,"",Phyllodocida,"","","","","",Pilargidae,"","","","",Synelmis,"","",BOSuncornirmedSpecies,BOSunformired,7077
A-Anne-Polychaeta-000519,,,Pilargidae sp. SEA-7740,Eukarya,Animalia,Annelida,Polychaeta,Errantia,"",Phyllodocida,"","","","","",Pilargidae,"","","","","","","",BOSuncornirmedSpecies,BOSunformired,7077
A-Anne-Polychaeta-000003,,,Ampharetidae sp.1,Eukarya,Animalia,Annelida,Polychaeta,Sedentaria,"",Terebellida,"","","","","",Ampharetidae,"","","","","","","",BOSuncornirmedSpecies,BOSunformired,7093
A-Anne-Polychaeta-000005,,,Ampharetidae sp.3,Eukarya,Animalia,Annelida,Polychaeta,Sedentaria,"",Terebellida,"","","","","",Ampharetidae,"","","","","","","",BOSuncornirmedSpecies,BOSunformired,7093
A-Anne-Polychaeta-000006,,,Ampharetidae sp.4,Eukarya,Animalia,Annelida,Polychaeta,Sedentaria,"",Terebellida,"","","","","",Ampharetidae,"","","","","","","",BOSuncornirmedSpecies,BOSunformired,7093
A-Anne-Polychaeta-000007,,,Ampharetidae sp.5,Eukarya,Animalia,Annelida,Polychaeta,Sedentaria,"",Terebellida,"","","","","",Ampharetidae,"","","","","","","",BOSuncornirmedSpecies,BOSunformired,7093
A-Anne-Polychaeta-000008,,,Ampharetidae sp.6,Eukarya,Animalia,Annelida,Polychaeta,Sedentaria,"",Terebellida,"","","","","",Ampharetidae,"","","","","","","",BOSuncornirmedSpecies,BOSunformired,7093
A-Anne-Polychaeta-000009,,,Ampharetidae sp. SEA-9154,Eukarya,Animalia,Annelida,Polychaeta,Sedentaria,"",Terebellida,"","","","","",Ampharetidae,"","","","","","","",BOSuncornirmedSpecies,BOSunformired,7093
A-Anne-Polychaeta-000010,,,Amphicteis? sp. SS-0717,Eukarya,Animalia,Annelida,Polychaeta,Sedentaria,"",Terebellida,"","","","","",Ampharetidae,"","","","",Amphicteis,"","",BOSuncornirmedSpecies,BOSunformired,7093
A-Anne-Polychaeta-000306,,,Ampharetidae sp. SEA-4434,Eukarya,Animalia,Annelida,Polychaeta,Sedentaria,"",Terebellida,"","","","","",Ampharetidae,"","","","","","","",BOSuncornirmedSpecies,BOSunformired,7093
A-Anne-Polychaeta-000506,,,Ampharetidae sp. SEA-4174,Eukarya,Animalia,Annelida,Polychaeta,Sedentaria,"",Terebellida,"","","","","",Ampharetidae,"","","","","","","",BOSuncornirmedSpecies,BOSunformired,7093
A-Anne-Polychaeta-000234,,,Polynoidae sp. 4714TB2-076,Eukarya,Animalia,Annelida,Polychaeta,Errantia,"",Phyllodocida,"","","","","",Polynoidae,"","","","","","","",BOSuncornirmedSpecies,BOSunformired,7078
A-Anne-Polychaeta-000235,,,Polynoidae sp. 4815TB1-012-013,Eukarya,Animalia,Annelida,Polychaeta,Errantia,"",Phyllodocida,"","","","","",Polynoidae,"","","","","","","",BOSuncornirmedSpecies,BOSunformired,7078
A-Anne-Polychaeta-000236,,,Polynoidae sp. 4913DR1-012,Eukarya,Animalia,Annelida,Polychaeta,Errantia,"",Phyllodocida,"","","","","",Polynoidae,"","","","","","","",BOSuncornirmedSpecies,BOSunformired,7078
A-Anne-Polychaeta-000237,,,Polynoidae sp. 4914DR1-008,Eukarya,Animalia,Annelida,Polychaeta,Errantia,"",Phyllodocida,"","","","","",Polynoidae,"","","","","","","",BOSuncornirmedSpecies,BOSunformired,7078
A-Anne-Polychaeta-000239,,,Polynoidae sp. 5113DR1-003,Eukarya,Animalia,Annelida,Polychaeta,Errantia,"",Phyllodocida,"","","","","",Polynoidae,"","","","","","","",BOSuncornirmedSpecies,BOSunformired,7078
