speciesID,matched_taxonID,acceptedNameUsageID,taxonName,domain,kingdom,phylum,class,subclass,superorder,order,sub-order,infraorder,section,subsection,superfamily,family,subfamily,tribe,genus,subgenus,genericName,specificEpithet,infraspecificEpithet,taxonRank,taxonomicStatus,parentNameUsageID
A-Anne-Clit-Oligochaeta-000001,,,Pheretima darnleiensis,Eukarya,Animalia,Annelida,Clitellata,Oligochaeta,"",Crassiclitellata,"","","","","",Megascolecidae,"","",Pheretima,"","",darnleiensis,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Arac-Aran-000024,,,Nephila antipodiana,Eukarya,Animalia,Arthropoda,Arachnida,"","",Araneae,"",Araneomorphae,"","","",Araneidae,"","",Nephila,"","",antipodiana,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Arac-Aran-000029,,,Gasteracantha hasselti,Eukarya,Animalia,Arthropoda,Arachnida,"","",Araneae,"",Araneomorphae,"","","",Araneidae,"","",Gasteracantha,"","",hasselti,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Arac-Aran-000032,,,Omoedus ephippigera,Eukarya,Animalia,Arthropoda,Arachnida,"","",Araneae,"",Araneomorphae,"","","",Salticidae,"","",Omoedus,"","",ephippiger,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Arac-Aran-000059,,,Araneus mitificus,Eukarya,Animalia,Arthropoda,Arachnida,"","",Araneae,"",Araneomorphae,"","","",Araneidae,"","",Araneus,"","",mitificus,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Arac-Aran-000060,,,Pholcus halabala,Eukarya,Animalia,Arthropoda,Arachnida,"","",Araneae,"",Araneomorphae,"","","",Pholcidae,"","",Pholcus,"","",halabala,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Crus-Decapoda-000072,,,Parapenaeopsis hardwickii,Eukarya,Animalia,Arthropoda,Malacostraca,"","",Decapoda,Dendrobrachiata,"","","",Penaeoidea,Penaeidae,"","",Parapenaeopsis,"","",hardwickii,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Crus-Decapoda-000092,,,Halicarcinus coralicola,Eukarya,Animalia,Arthropoda,Malacostraca,"","",Decapoda,Pleocyemata,Brachyura,"","",Hymenosomatoidea,Hymenosomatidae,"","",Halicarcinus,"","",coralicola,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Crus-Decapoda-000346,,,Portunus (Xiphonectes) hastatoides,Eukarya,Animalia,Arthropoda,Malacostraca,"","",Decapoda,Pleocyemata,Brachyura,"","",Portunoidea,Portunidae,"","",Portunus,Xiphonectes,"",hastatoides,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Crus-Decapoda-000740,,,Periclimenes brevicarpalis,Eukarya,Animalia,Arthropoda,Malacostraca,"","",Decapoda,Pleocyemata,Caridea,"","",Palaemonoidea,Palaemonidae,"","",Periclimenes,"","",brevicarpalis,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Crus-Stomatopoda-000019,,,Oratosquillina anomala,Eukarya,Animalia,Arthropoda,Malacostraca,"","",Stomatopoda,"","","","","",Squillidae,"","",Oratosquilla,"","",anomala,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Crus-Stomatopoda-000020,,,Oratosquillina interrupta,Eukarya,Animalia,Arthropoda,Malacostraca,"","",Stomatopoda,"","","","","",Squillidae,"","",Oratosquilla,"","",interrupta,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Blattodea-000081,,,Nocticola pheromosa,Eukarya,Animalia,Arthropoda,Insecta,"","",Blattodea,"","","","",Corydioidea,Nocticolidae,"","",Nocticola,"","",pheromosa,"",BOSuncornirmedSpecies,BOSunformired,
