speciesId,phylum,class,subclass,order,sub-order,infraorder,section,subsection,superfamily,family,subfamily,tribe,genus,subgenus,species,subspecies,taxonName,cleanup changes,source_file,Data cleanup changes,Unnamed: 17,subphylum,taxon,Unnamed: 19,14, speciesId,data cleanup changes,query,issue,query ,superorder,domain ,kingdom,Unnamed: 16,Unnamed: 18,section/parvorder,changes,Column,Column2,Column3,Column4,Column5,Column6,Column7,infraclass,commonName,Unnamed: 21,subphylum ,cleanup changes/comments,species2,Column8,Column9,cleanup changes ,Unnamed: 22,Unnamed: 20,clade 1,clade 2,clade 3,Unnamed: 23
A-Anne-Clit-Hirudinea-000001,Annelida, Clitellata, Hirudinea,Rhynchobdellida,,,,,, Glossiphoniidae,,,,,,,"Glossiphoniidae sp. ""1""",Glossiphonidae and Glossophonidae are the wrong spellings; changed to Glossiphoniidae,(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Anne-Clit-Hirudinea-000002,Annelida, Clitellata, Hirudinea,Rhynchobdellida,,,,,, Glossiphoniidae,,,,,,,"Glossiphoniidae sp. ""2""",Glossiphonidae and Glossophonidae are the wrong spellings; changed to Glossiphoniidae,(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Anne-Clit-Hirudinea-000003,Annelida, Clitellata, Hirudinea,Rhynchobdellida,,,,,, Glossiphoniidae,,,,,,,"Glossiphoniidae sp. ""3""",Glossiphonidae and Glossophonidae are the wrong spellings; changed to Glossiphoniidae,(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Anne-Clit-Hirudinea-000004,Annelida, Clitellata, Hirudinea,Arhynchobdellida,,,,,, Hirudinidae,,,,,,,"Hirudinidae sp. ""1""",,(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Anne-Clit-Hirudinea-000005,Annelida, Clitellata, Hirudinea,Arhynchobdellida,,,,,, Hirudinidae,,,,,,,"Hirudinidae sp. ""2""",,(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Anne-Clit-Hirudinea-000006,Annelida, Clitellata, Hirudinea,Arhynchobdellida,,,,,, Hirudinidae,,,Hirudinaria ,,bpling ,,<i>Hirudinaria bpling</i>,genus under Mollusca and Fungi on COL but is on GBIF as leech,(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Anne-Clit-Hirudinea-000007,Annelida, Clitellata, Hirudinea,,,,,,,,,,,,,,Hirudinea sp. 1,,(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Anne-Clit-Hirudinea-000008,Annelida, Clitellata, Hirudinea,,,,,,,,,,,,,,Hirudinea sp. 2,,(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Anne-Clit-Hirudinea-000009,Annelida, Clitellata, Hirudinea,,,,,,,,,,,,,,Hirudinea sp. 3,,(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Anne-Clit-Hirudinea-000010,Annelida, Clitellata, Hirudinea,,,,,,,,,,,,,,Hirudinea sp. 4,,(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Anne-Clit-Hirudinea-000011,Annelida, Clitellata, Hirudinea,,,,,,,,,,,,,,Hirudinea sp. 5,,(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Anne-Clit-Hirudinea-000012,Annelida, Clitellata, Hirudinea,,,,,,,,,,,,,,Hirudinea sp. 6,,(back+checked) Database - A-Anne-Clit-Hirudinea.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Anne-Clit-Oligochaeta-000001,Annelida,Clitellata, Oligochaeta,Crassiclitellata ,,,,,, Megascolecidae,,,Pheretima,,darnleiensis ,,<i>Pheretima darnleiensis</i>,,(back+checked) Database - A-Anne-Clit-Oligochaeta.xlsx,"was order Haplotaxida, changed to order Crassiclitellata according to COL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Anne-Echiura-000001,Annelida,Polychaeta,Echiura,Echiuroidea,Echiurida,,,,,Echiuridae,,,Ochetostoma,,erythrogrammon,,<i>Ochetostoma erythrogrammon</i>,Echiuroidea is indeed an order according to COL,(back+checked) Database - A-Anne-Echiura.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Anne-Echiura-000002,Annelida,Polychaeta,Echiura,,,,,,,,,,,,,,Spoon worm sp. 1,,(back+checked) Database - A-Anne-Echiura.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Anne-Echiura-000003,Annelida,Polychaeta,Echiura,,,,,,,,,,,,,,Spoon worm sp. 2,,(back+checked) Database - A-Anne-Echiura.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Anne-Echiura-000004,Annelida,Polychaeta,Echiura,,,,,,,,,,,,,,Spoon worm sp. 3,,(back+checked) Database - A-Anne-Echiura.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Anne-Echiura-000005,Annelida,Polychaeta,Echiura,,,,,,,,,,,,,,Spoon worm sp. 4,,(back+checked) Database - A-Anne-Echiura.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Anne-Echiura-000006,Annelida,Polychaeta,Echiura,,,,,,,,,,,,,,Spoon worm sp. 5,,(back+checked) Database - A-Anne-Echiura.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Anne-Echiura-000007,Annelida,Polychaeta,Echiura,,,,,,,,,,,,,,Spoon worm sp. 6,,(back+checked) Database - A-Anne-Echiura.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Ambl-000001,Arthropoda,Arachnida,,Amblypygi,,,,,,,,,,,,,Amblypygi sp. ZRC_ENT00014159,,(back+checked) Database - A-Arth-Arac-Amblypygi.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000001,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Sparassidae,,,Heteropoda,,davidbowie,,<i>Heteropoda davidbowie</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000002,Arthropoda,Arachnida,,Araneae,,Mygalomorphae,,,,Theraphosidae,,,Phlogiellus,,inermis,,<i>Phlogiellus inermis</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000003,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Araneidae,,,,,,,"Araneidae sp. ""ZRC_BDP0050080""",,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000004,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Hahniidae,,,,,,,"Hahniidae sp. ""ZRC_BDP0050902""",,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000005,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Salticidae,,,Cytaea,,oreophila,,<i>Cytaea oreophila</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000006,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Salticidae,,,Epocilla,,calcarata,,<i>Epocilla calcarata</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000007,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Salticidae,,,Bavia,,sexupunctata,,<i>Bavia sexpunctata</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000008,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Salticidae,,,Hyllus,,diardi,,<i>Hyllus diardi</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000009,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Salticidae,,,Spartaeus,,spinimanus,,<i>Spartaeus spinimanus</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000010,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Salticidae,,,Thorelliola,,ensifera,,<i>Thorelliola ensifera</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000011,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Salticidae,,,Myrmarachne,,melanocephala,,<i>Myrmarachne melanocephala</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000012,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Salticidae,,,Phaeacius,,malayensis,,<i>Phaeacius malayensis</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000013,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Salticidae,,,,,,,"Salticidae sp. ""ZRC_BDP0057873""",,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000014,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Salticidae,,,Myrmarachne,,,,"<i>Myrmarachne</i> sp. ""ZRC_BDP0060850""",,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000015,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Salticidae,,,Rhene,,,,"<i>Rhene</i> sp. ""ZRC_BDP0060870""",,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000016,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Salticidae,,,,,,,"Salticidae sp. ""ZRC_BDP0061055""",,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000017,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Salticidae,,,,,,,"Salticidae sp. ""ZRC_BDP0061156""",,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
