speciesID,matched_taxonID,acceptedNameUsageID,taxonName,domain,kingdom,phylum,class,subclass,superorder,order,sub-order,infraorder,section,subsection,superfamily,family,subfamily,tribe,genus,subgenus,genericName,specificEpithet,infraspecificEpithet,taxonRank,taxonomicStatus,parentNameUsageID
A-Arth-Arac-Aran-000014,,,"Myrmarachne sp. ""ZRC_BDP0060850""",Eukarya,Animalia,Arthropoda,Arachnida,"","",Araneae,"",Araneomorphae,"","","",Salticidae,"","",Myrmarachne,"","","","",BOSuncornirmedSpecies,BOSunformired,10307955
A-Arth-Arac-Aran-000015,,,"Rhene sp. ""ZRC_BDP0060870""",Eukarya,Animalia,Arthropoda,Arachnida,"","",Araneae,"",Araneomorphae,"","","",Salticidae,"","",Rhene,"","","","",BOSuncornirmedSpecies,BOSunformired,2170944
A-Arth-Arac-Aran-000018,,,"Utivarachna sp. ""ZRC_BDP0061159""",Eukarya,Animalia,Arthropoda,Arachnida,"","",Araneae,"",Araneomorphae,"","","",Trachelidae,"","",Utivarachna,"","","","",BOSuncornirmedSpecies,BOSunformired,2148690
A-Arth-Arac-Aran-000020,,,"Asceua sp. ""ZRC_BDP0060980 / ZRC_BDP0061144""",Eukarya,Animalia,Arthropoda,Arachnida,"","",Araneae,"",Araneomorphae,"","","",Zodariidae,"","",Asceua,"","","","",BOSuncornirmedSpecies,BOSunformired,2162690
A-Arth-Arac-Aran-000049,,,Desis cf. martensi,Eukarya,Animalia,Arthropoda,Arachnida,"","",Araneae,"",Araneomorphae,"","","",Desidae,"","",Desis,"","","","",BOSuncornirmedSpecies,BOSunformired,2143007
A-Arth-Arac-Aran-000056,,,Dipoena sp.,Eukarya,Animalia,Arthropoda,Arachnida,"","",Araneae,"",Araneomorphae,"","","",Theridiidae,"","",Dipoena,"","","","",BOSuncornirmedSpecies,BOSunformired,2156358
A-Arth-Arac-Aran-000057,,,Hygropoda sp.,Eukarya,Animalia,Arthropoda,Arachnida,"","",Araneae,"",Araneomorphae,"","","",Pisauridae,"","",Hygropoda,"","","","",BOSuncornirmedSpecies,BOSunformired,2150993
A-Arth-Arac-Aran-000075,,,Pandercetes sp.,Eukarya,Animalia,Arthropoda,Arachnida,"","",Araneae,"",Araneomorphae,"","","",Sparassidae,"","",Pandercetes,"","","","",BOSuncornirmedSpecies,BOSunformired,2161580
A-Arth-Arac-Aran-000078,,,Dolomedes sp.,Eukarya,Animalia,Arthropoda,Arachnida,"","",Araneae,"",Araneomorphae,"","","",Pisauridae,"","",Dolomedes,"","","","",BOSuncornirmedSpecies,BOSunformired,2150885
A-Arth-Arac-Aran-000080,,,Pandercetes sp.,Eukarya,Animalia,Arthropoda,Arachnida,"","",Araneae,"",Araneomorphae,"","","",Sparassidae,"","",Pandercetes,"","","","",BOSuncornirmedSpecies,BOSunformired,2161580
A-Arth-Arac-Aran-000081,,,Hygropoda sp.,Eukarya,Animalia,Arthropoda,Arachnida,"","",Araneae,"",Araneomorphae,"","","",Pisauridae,"","",Hygropoda,"","","","",BOSuncornirmedSpecies,BOSunformired,2150993
