speciesID,matched_taxonID,acceptedNameUsageID,taxonName,domain,kingdom,phylum,class,subclass,superorder,order,sub-order,infraorder,section,subsection,superfamily,family,subfamily,tribe,genus,subgenus,genericName,specificEpithet,infraspecificEpithet,taxonRank,taxonomicStatus,parentNameUsageID
A-Sipuncula-000010,,,Peanut worm sp. 1,Eukarya,Animalia,Sipuncula,"","","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,74
A-Sipuncula-000011,,,Peanut worm sp. 2,Eukarya,Animalia,Sipuncula,"","","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,74
A-Sipuncula-000012,,,Peanut worm sp. 3,Eukarya,Animalia,Sipuncula,"","","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,74
A-Sipuncula-000013,,,Peanut worm sp. 4,Eukarya,Animalia,Sipuncula,"","","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,74
A-Sipuncula-000014,,,Peanut worm sp. 5,Eukarya,Animalia,Sipuncula,"","","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,74
A-Sipuncula-000015,,,Peanut worm sp. 6,Eukarya,Animalia,Sipuncula,"","","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,74
A-Sipuncula-000016,,,Peanut worm sp. 7,Eukarya,Animalia,Sipuncula,"","","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,74
A-Sipuncula-000017,,,Peanut worm sp. 8,Eukarya,Animalia,Sipuncula,"","","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,74
A-Sipuncula-000018,,,Peanut worm sp. 9,Eukarya,Animalia,Sipuncula,"","","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,74
A-Sipuncula-000019,,,Peanut worm sp. 10,Eukarya,Animalia,Sipuncula,"","","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,74
A-Sipuncula-000020,,,Peanut worm sp. 11,Eukarya,Animalia,Sipuncula,"","","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,74
A-Sipuncula-000021,,,Peanut worm sp. 12,Eukarya,Animalia,Sipuncula,"","","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,74
A-Sipuncula-000022,,,Peanut worm sp. 13,Eukarya,Animalia,Sipuncula,"","","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,74
A-Sipuncula-000023,,,Peanut worm sp. 14,Eukarya,Animalia,Sipuncula,"","","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,74
A-Sipuncula-000024,,,Peanut worm sp. 15,Eukarya,Animalia,Sipuncula,"","","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,74
A-Sipuncula-000025,,,Peanut worm sp. 16,Eukarya,Animalia,Sipuncula,"","","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,74
A-Sipuncula-000027,,,Peanut worm sp. 18,Eukarya,Animalia,Sipuncula,"","","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,74
A-Sipuncula-000028,,,Peanut worm sp. 19,Eukarya,Animalia,Sipuncula,"","","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,74
A-Sipuncula-000029,,,Peanut worm sp. 20,Eukarya,Animalia,Sipuncula,"","","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,74
A-Sipuncula-000030,,,Peanut worm sp. 21,Eukarya,Animalia,Sipuncula,"","","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,74
A-Sipuncula-000031,,,Peanut worm sp. 22,Eukarya,Animalia,Sipuncula,"","","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,74
A-Sipuncula-000032,,,Peanut worm sp. 23,Eukarya,Animalia,Sipuncula,"","","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,74
A-Sipuncula-000033,,,Peanut worm sp. 24,Eukarya,Animalia,Sipuncula,"","","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,74
