speciesId,matched_taxonID,acceptedNameUsageID,taxonName,domain,kingdom,phylum,class,subclass,superorder,order,sub-order,infraorder,section,subsection,superfamily,family,subfamily,tribe,genus,subgenus,genericName,specificEpithet,infraspecificEpithet,taxonRank,taxonomicStatus,parentNameUsageID
A-Ctenophora-000004,,,Comb jelly sp. 1,Eukarya,Animalia,Ctenophora,Tentaculata,"","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,365
A-Ctenophora-000005,,,Comb jelly sp. 2,Eukarya,Animalia,Ctenophora,Tentaculata,"","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,365
A-Ctenophora-000006,,,Comb jelly sp. 3,Eukarya,Animalia,Ctenophora,Tentaculata,"","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,365
A-Ctenophora-000007,,,Comb jelly sp. 4,Eukarya,Animalia,Ctenophora,Tentaculata,"","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,365
A-Ctenophora-000008,,,Comb jelly sp. 5,Eukarya,Animalia,Ctenophora,Tentaculata,"","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,365
A-Ctenophora-000009,,,Comb jelly sp. 6,Eukarya,Animalia,Ctenophora,Tentaculata,"","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,365
A-Ctenophora-000010,,,Benthic ctenophore sp. INT-1311,Eukarya,Animalia,Ctenophora,Tentaculata,"","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,365
A-Arth-Crus-Copepoda-000005,,,Copepod sp. 1,Eukarya,Animalia,Arthropoda,Copepoda,"","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,11545536
A-Arth-Crus-Copepoda-000006,,,Copepod sp. 2,Eukarya,Animalia,Arthropoda,Copepoda,"","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,11545536
A-Arth-Crus-Copepoda-000007,,,Copepod sp. 3,Eukarya,Animalia,Arthropoda,Copepoda,"","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,11545536
A-Arth-Crus-Copepoda-000008,,,Copepod sp. 4,Eukarya,Animalia,Arthropoda,Copepoda,"","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,11545536
A-Arth-Crus-Copepoda-000009,,,Copepod sp. 5,Eukarya,Animalia,Arthropoda,Copepoda,"","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,11545536
A-Arth-Crus-Copepoda-000010,,,Copepod sp. 6,Eukarya,Animalia,Arthropoda,Copepoda,"","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,11545536
A-Arth-Crus-Copepoda-000011,,,Copepod sp. 7,Eukarya,Animalia,Arthropoda,Copepoda,"","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,11545536
A-Arth-Crus-Copepoda-000012,,,Copepod sp. 8,Eukarya,Animalia,Arthropoda,Copepoda,"","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,11545536
A-Arth-Crus-Copepoda-000013,,,Copepod sp. 9,Eukarya,Animalia,Arthropoda,Copepoda,"","","","","","","","","","","","","","","","",BOSuncornirmedSpecies,BOSunformired,11545536
